hash,file,mode,time,rwts,rwps
compare-2-before-dup-ref,./programs/sum_tree.hvmc,intr-singl,28.339 s,754974690,26.641 m
compare-2-before-dup-ref,./programs/sum_tree.hvmc,comp-singl,9.899 s,754974690,76.268 m
compare-3-before-ptr-refactor,./programs/radix_sort_lam.hvmc,intr-multi,7.111 s,803471375,112.990 m
compare-3-before-ptr-refactor,./programs/radix_sort_lam.hvmc,comp-multi,2.907 s,803471375,276.392 m
compare-3-before-ptr-refactor,./programs/radix_sort_lam.hvmc,intr-singl,26.594 s,803471375,30.213 m
compare-3-before-ptr-refactor,./programs/radix_sort_lam.hvmc,comp-singl,9.748 s,803471375,82.424 m
compare-3-before-ptr-refactor,./programs/bitonic_sort_lam.hvmc,intr-multi,8.666 s,811597752,93.653 m
compare-3-before-ptr-refactor,./programs/bitonic_sort_lam.hvmc,intr-singl,30.157 s,811597752,26.912 m
compare-3-before-ptr-refactor,./programs/bitonic_sort_lam.hvmc,comp-singl,11.477 s,811597752,70.715 m
compare-3-before-ptr-refactor,./programs/c2.hvmc,intr-multi,0.000 s,12,inf m
compare-3-before-ptr-refactor,./programs/c2.hvmc,comp-multi,0.000 s,12,inf m
compare-3-before-ptr-refactor,./programs/c2.hvmc,intr-singl,0.000 s,12,inf m
compare-3-before-ptr-refactor,./programs/c2.hvmc,comp-singl,0.000 s,12,inf m
compare-3-before-ptr-refactor,./programs/sum_tail.hvmc,intr-multi,3.523 s,110000008,31.223 m
compare-3-before-ptr-refactor,./programs/sum_tail.hvmc,comp-multi,0.516 s,110000008,213.178 m
compare-3-before-ptr-refactor,./programs/sum_tail.hvmc,intr-singl,2.951 s,110000008,37.276 m
compare-3-before-ptr-refactor,./programs/sum_tail.hvmc,comp-singl,0.514 s,110000008,214.008 m
compare-3-before-ptr-refactor,./programs/merge_sort.hvmc,intr-multi,6.125 s,494927834,80.805 m
compare-3-before-ptr-refactor,./programs/merge_sort.hvmc,comp-multi,2.855 s,494927834,173.355 m
compare-3-before-ptr-refactor,./programs/merge_sort.hvmc,intr-singl,19.294 s,494927834,25.652 m
compare-3-before-ptr-refactor,./programs/merge_sort.hvmc,comp-singl,7.639 s,494927834,64.790 m
compare-3-before-ptr-refactor,./programs/sum_rec.hvmc,intr-multi,10.979 s,1207959540,110.025 m
compare-3-before-ptr-refactor,./programs/sum_rec.hvmc,comp-multi,1.961 s,1207959540,615.992 m
compare-3-before-ptr-refactor,./programs/sum_rec.hvmc,intr-singl,42.101 s,1207959540,28.692 m
compare-3-before-ptr-refactor,./programs/sum_rec.hvmc,comp-singl,7.176 s,1207959540,168.333 m
compare-3-before-ptr-refactor,./programs/boom.hvmc,intr-multi,2.964 s,167772332,56.603 m
compare-3-before-ptr-refactor,./programs/boom.hvmc,intr-singl,4.726 s,167772332,35.500 m
compare-3-before-ptr-refactor,./programs/boom.hvmc,comp-singl,3.496 s,167772332,47.990 m
compare-3-before-ptr-refactor,./programs/sum_tree.hvmc,intr-multi,8.946 s,754974690,84.392 m
compare-3-before-ptr-refactor,./programs/sum_tree.hvmc,intr-singl,30.542 s,754974690,24.719 m
compare-3-before-ptr-refactor,./programs/sum_tree.hvmc,comp-singl,10.053 s,754974690,75.099 m
compare-4-ptr-refactor,./programs/radix_sort_lam.hvmc,intr-multi,4.166s,803_471_375,192.910 M
compare-4-ptr-refactor,./programs/radix_sort_lam.hvmc,comp-multi,3.464s,803_471_375,231.949 M
compare-4-ptr-refactor,./programs/radix_sort_lam.hvmc,intr-singl,14.234s,803_471_375,56.447 M
compare-4-ptr-refactor,./programs/bitonic_sort_lam.hvmc,intr-multi,5.152s,811_597_752,157.531 M
compare-4-ptr-refactor,./programs/bitonic_sort_lam.hvmc,comp-multi,4.335s,811_597_752,187.220 M
compare-4-ptr-refactor,./programs/bitonic_sort_lam.hvmc,intr-singl,16.834s,811_597_752,48.212 M
compare-4-ptr-refactor,./programs/bitonic_sort_lam.hvmc,comp-singl,14.095s,811_597_752,57.585 M
compare-4-ptr-refactor,./programs/c2.hvmc,intr-multi,1.775ms,11,0.011 M
compare-4-ptr-refactor,./programs/c2.hvmc,intr-singl,3.139µs,11,inf M
compare-4-ptr-refactor,./programs/c2.hvmc,comp-singl,3.894µs,11,inf M
compare-4-ptr-refactor,./programs/sum_tail.hvmc,intr-multi,2.131s,110_000_008,51.643 M
compare-4-ptr-refactor,./programs/sum_tail.hvmc,comp-multi,1.885s,110_000_008,58.355 M
